Date,Name,Year,Letterboxd URI
2021-07-26,The Battle of Algiers,1966,https://boxd.it/1IRY
2021-07-26,Ex Machina,2014,https://boxd.it/7T2k
2021-07-26,Badlands,1973,https://boxd.it/25Fm
2021-07-26,Holy Motors,2012,https://boxd.it/3wai
2021-07-26,Russian Ark,2002,https://boxd.it/1JQM
2021-07-26,Boyz n the Hood,1991,https://boxd.it/29Ug
2021-07-26,Happiness,1998,https://boxd.it/1VEe
2021-07-26,Che: Part One,2008,https://boxd.it/1ZGe
2021-07-26,Alphaville,1965,https://boxd.it/20AG
2021-07-26,Hood Movie: Is the City One Only?,2011,https://boxd.it/6mds
2021-07-26,True Romance,1993,https://boxd.it/2aBa
2021-08-01,The Masters of Time,1982,https://boxd.it/1Atu
2021-08-03,The Ascent,1977,https://boxd.it/Eew
2021-08-03,Shame,1968,https://boxd.it/1tZo
2021-08-03,Wild Strawberries,1957,https://boxd.it/29ZU
2021-08-03,Cries and Whispers,1972,https://boxd.it/1WK8
2021-08-18,Tokyo Fist,1995,https://boxd.it/Z2m
2021-08-21,Edvard Munch,1974,https://boxd.it/E3y
2021-08-23,Election,2005,https://boxd.it/2lDm
2021-08-26,The Man Who Would Be King,1975,https://boxd.it/299O
2021-08-30,"Paris, Texas",1984,https://boxd.it/29Ts
2021-09-12,The Ax,2005,https://boxd.it/1ebo
2021-09-12,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe
2021-09-12,In the Year of the Pig,1969,https://boxd.it/5EO
2021-09-12,The Mattei Affair,1972,https://boxd.it/bqe
2021-09-12,Days of Heaven,1978,https://boxd.it/1JRg
2021-09-12,Reds,1981,https://boxd.it/1Hhq
2021-09-12,Platform,2000,https://boxd.it/2O0S
2021-09-13,Uncle Boonmee Who Can Recall His Past Lives,2010,https://boxd.it/168Q
2021-09-15,The Human Condition I: No Greater Love,1959,https://boxd.it/1jAy
2021-09-19,Serpico,1973,https://boxd.it/1ZjE
2021-09-19,The Verdict,1982,https://boxd.it/1y3Y
2021-09-19,Ganja & Hess,1973,https://boxd.it/2UWe
2021-10-01,Morte e Vida Severina,2010,https://boxd.it/6dNm
2021-10-02,Sorry We Missed You,2019,https://boxd.it/iXBg
2021-10-02,Land and Freedom,1995,https://boxd.it/14Xi
2021-10-03,Bulworth,1998,https://boxd.it/1YE2
2021-10-03,Close-Up,1990,https://boxd.it/1m9q
2021-10-06,A Visitor to a Museum,1989,https://boxd.it/2wKe
2021-10-10,Mother,2009,https://boxd.it/1m9g
2021-10-13,Children of Men,2006,https://boxd.it/1Y2i
2021-10-25,Lost Highway,1997,https://boxd.it/29Wc
2021-10-25,Inland Empire,2006,https://boxd.it/28d6
2021-10-28,El Topo,1970,https://boxd.it/1QYS
2021-10-28,Santa Sangre,1989,https://boxd.it/1FrI
2021-10-28,Crumb,1994,https://boxd.it/1tDi
2021-10-29,Being There,1979,https://boxd.it/1WxS
2021-10-29,Withnail & I,1987,https://boxd.it/1Qa4
2021-10-31,Woman in the Dunes,1964,https://boxd.it/1JNS
